"ID","Category","Name","Status","Assigned To","Description","Goal","Comments","User Story","Depends On","Blockers"
"SAF-015","SAF","Expand Terminal Allowlist â€” Write Commands","Done","Developer Agent","Add the following commands to the terminal command allowlist in `security_gate.py` with `path_args_restricted=True`: `set-content` (and alias `sc`), `add-content` (and alias `ac`), `out-file`, `rename-item` (and alias `ren`, `mv`, `move-item`), `copy-item` (and alias `cp`, `copy`), `new-item` (and alias `ni`, `mkdir`), `tee-object`, `tee`. For write commands, all path arguments must be verified to be inside the project folder. Multi-path commands like `copy-item src dest` must have BOTH paths inside the project folder.","Write commands (Set-Content, Add-Content, Out-File, Rename-Item, Copy-Item, etc.) work inside the project folder and are denied when any argument is outside it.","v2.0.0","US-019","",""
"SAF-016","SAF","Expand Terminal Allowlist â€” Delete Commands","Done","Developer Agent","Add delete commands to the terminal allowlist with `path_args_restricted=True`: `remove-item` (and alias `ri`, `rm`, `del`, `erase`, `rmdir`). When ALL path arguments are inside the project folder, return ""allow"". When ANY path argument is outside the project folder, return ""deny"". Remove these commands from `_EXPLICIT_DENY_PATTERNS` since they are now handled by the allowlist with zone checking.","Delete commands work inside the project folder and are hard-denied when targeting anything outside it.","v2.0.0","US-019","",""
"SAF-017","SAF","Expand Terminal Allowlist â€” Python and pip Commands","Done","Developer Agent","Update the Python command rules in the terminal allowlist: (1) Remove `-c` from `denied_flags` for the python/python3/py rules â€” `python -c ""...""` should be allowed when cwd is inside the project folder. (2) Add `python -m venv` to allowed usage when the venv target path is inside the project folder. (3) Allow `pip list`, `pip show`, `pip freeze`, `pip check` without path restrictions (read-only). (4) Allow `pip install` when an active virtual environment is detected inside the project folder (check for VIRTUAL_ENV env var). (5) Deny `pip install` when no venv is active (prevents global installations).","Python and pip commands work freely inside the project folder; global pip install is blocked.","v2.0.0","US-019","",""
"SAF-018","SAF","Fix multi_replace_string_in_file Tool Recognition","Done","Developer Agent","Ensure `multi_replace_string_in_file` is properly recognized by the security gate. Verify it is in both `_EXEMPT_TOOLS` and `_WRITE_TOOLS` sets. The tool receives an array of replacement operations, each with a `filePath` â€” the gate must extract and zone-check ALL filePaths from the replacements array. If ANY filePath is outside the project folder, deny the entire operation.","multi_replace_string_in_file is properly recognized and zone-checked for all file paths in the replacements array.","v2.0.0","US-019","",""
"SAF-019","SAF","Update VS Code Settings for Auto-Approve","Done","Developer Agent","Update `Default-Project/.vscode/settings.json` and `templates/coding/.vscode/settings.json` to configure auto-approve for file edit tools: add `chat.tools.edits.autoApprove` list containing `replace_string_in_file`, `multi_replace_string_in_file`, and `create_file`. Keep `chat.tools.global.autoApprove` as `false`. These settings reduce VS Code's own approval prompts for tools already gated by the security hook.","VS Code auto-approves file edit tools that are already validated by the security gate; no double-approval needed.","v2.0.0","US-019","",""
"SAF-020","SAF","Detect and Block Terminal Wildcard Patterns","Done","Developer Agent","Add wildcard/glob detection to the terminal command sanitizer in `security_gate.py`. After tokenizing the command, scan each token for wildcard characters (*, ?). If a token contains wildcards and is in a path-like position, resolve the glob pattern against the workspace root. If ANY resolved path falls inside a deny zone, deny the command. If glob resolution is not feasible (cross-platform), use a conservative approach: deny any path-like token containing wildcards where the non-wildcard prefix could match a deny zone (e.g., `.g*` matches `.github`, `N*` matches `NoAgentZone`, `.v*` matches `.vscode`). Wildcards that can only resolve to the project folder are allowed.","Terminal wildcard bypass vector is fully closed; no glob pattern can resolve to restricted zones.","v2.1.0 â€” Iteration 2 2026-03-17: BUG-051 fixed â€” bracket expression wildcards [.g]*  / [Nn]* / [.v]* now blocked. Added [ to wildcard trigger in helper and callers. 107/107 SAF-020 pass; 2782 passed full suite.","US-020","",""
"SAF-021","SAF","Wildcard Bypass Regression Tests","Done","Developer Agent","Create comprehensive regression tests in `tests/SAF-021/` covering all wildcard bypass vectors from the security audit: (1) `Get-ChildItem .g*` â€” denied, (2) `Get-ChildItem N*` â€” denied, (3) `Get-ChildItem .v*` â€” denied, (4) `Get-ChildItem .g* | Get-Content` â€” denied, (5) `Get-ChildItem .g* -Force -Recurse -Name` â€” denied, (6) `ls .g*` â€” denied, (7) `cat N*/*` â€” denied, (8) Wildcards targeting project folder only â€” allowed, (9) `dir .g*` â€” denied, (10) Wildcards with path traversal combinations.","Every wildcard bypass vector from the security audit has a passing regression test.","v2.0.0 â€” Tester PASS: 58 developer tests + 22 Tester edge-case additions (? wildcard, /b flag, chained commands, Get-Content wildcard). 80/80 SAF-021 pass; 2862 full suite pass.","US-020","",""
"SAF-022","SAF","Add NoAgentZone to VS Code Exclude Settings","Done","Developer Agent","Update `Default-Project/.vscode/settings.json` to add `""**/NoAgentZone"": true` to both `files.exclude` and `search.exclude` settings. This prevents VS Code's built-in file search and text search from indexing NoAgentZone files. Make the same changes in `templates/coding/.vscode/settings.json`. After making changes, run `update_hashes.py` to re-embed the new settings.json hash in security_gate.py.","NoAgentZone is excluded from VS Code file and text search indexes; grep_search and file_search no longer return NoAgentZone results.","v2.0.0 â€” Tester PASS: 18 developer tests + 16 Tester edge-case additions (34 total). 2880/2880 full suite pass.","US-021","",""
"SAF-023","SAF","Block get_errors for Restricted Zone Paths","Done","Developer Agent","Add `get_errors` to the security gate's tool handling. When `get_errors` is called with `filePaths` targeting restricted zone files, the gate should return ""deny"". When targeting the project folder or called without specific paths, return ""allow"". Add `get_errors` to `_EXEMPT_TOOLS` set and add zone checking for its `filePaths` parameter (which is an array).","get_errors tool is intercepted by the security gate and blocked for restricted zone paths.","v2.0.0 â€” Tester PASS: 34 developer tests + 10 Tester edge-case additions (44 total). 2940/2940 full suite pass (1 pre-existing INS-005 failure excluded).","US-021","",""
"SAF-024","SAF","Implement Generic Deny Messages","Done","Developer Agent","Replace the `_DENY_REASON` constant in `security_gate.py` with a generic message: ""Access denied. This action has been blocked by the workspace security policy."" Remove any references to "".github"", "".vscode"", or ""NoAgentZone"" from deny messages returned to the agent. Keep internal logging/comments that reference zone names but ensure the JSON response sent to VS Code stdout contains only the generic message. Update `_ASK_REASON` (if it still exists after SAF-013) with a similarly generic message.","All deny messages returned to the agent are generic and do not reveal restricted zone names.","v2.0.0","US-022","",""
"SAF-025","SAF","Update security_gate.py Integrity Hashes","Done","Developer Agent","After all security changes are complete (SAF-012 through SAF-024), run `update_hashes.py` to recompute and re-embed the SHA256 hashes for the modified `security_gate.py` and `settings.json`. Update hashes in both `Default-Project/` and `templates/coding/`. Sync `templates/coding/` with `Default-Project/` to ensure they are identical.","SHA256 integrity hashes are correct for the final v2.0.0 security files; Default-Project/ and templates/coding/ are in sync.","v2.0.0","Enabler","",""
"FIX-020","Fix","Bump Version to 2.0.0","Done","Developer Agent","Update the version string from 1.0.3 to 2.0.0 in all locations: (1) src/launcher/config.py VERSION constant, (2) pyproject.toml version field, (3) src/installer/windows/setup.iss MyAppVersion, (4) src/installer/macos/build_dmg.sh APP_VERSION, (5) src/installer/linux/build_appimage.sh APP_VERSION.","All version references consistently show 2.0.0. Pushing tag v2.0.0 triggers CI/CD release with correct version numbers.","v2.0.0","Enabler","",""
"GUI-015","GUI","Rename Root Folder to TS-SAE-{ProjectName}","Done","Developer Agent","Modify project creation logic in `project_creator.py` to name the root workspace folder `TS-SAE-{folder_name}` instead of just `{folder_name}`. The `create_project()` function should prepend the `TS-SAE-` prefix to the folder name. Update the `_on_create_project()` handler in `app.py` to pass the raw project name and let `create_project()` handle the prefix.","When user enters ""MatlabDemo"", the created root folder is named ""TS-SAE-MatlabDemo"" at the destination path.","Tester PASS: 28 tests (15 dev + 13 tester edge-case). Prefix verified exact (TS-SAE-). Path-traversal guard updated for new threshold (3 levels). Unicode, long names, empty name, case preservation all tested. 2988/2988 suite pass (excluding pre-existing BUG-045).","US-017","",""
"GUI-016","GUI","Rename Internal Project Folder to User's Name","Done","Developer Agent","Modify the template copy logic so that after copying the template to the root folder, the internal ""Project"" subfolder is renamed to the user's entered project name. For example, if the user enters ""MatlabDemo"", the `Project/` folder inside the workspace becomes `MatlabDemo/`. This can be done via `os.rename()` or `shutil.move()` after `shutil.copytree()`.","The internal working folder inside the created workspace matches the user's project name instead of ""Project"".","v2.0.0","US-017","",""
"GUI-017","GUI","Update UI Labels and Validation for New Naming Convention","Done","Developer Agent","Update the UI text and tooltip labels to reflect the new naming convention. The success message should show the full path including the TS-SAE prefix. Update the duplicate folder check to verify the `TS-SAE-{name}` folder doesn't already exist at the destination (not just `{name}`). Update the placeholder text for the project name input.","UI correctly communicates the TS-SAE-{name} naming to the user and validates against the prefixed folder name.","v2.0.0","US-017","",""
"DOC-001","DOC","Add Placeholder System to Template Files","Done","Developer Agent","Add a placeholder replacement system to `project_creator.py`. After copying the template, scan key text files (README.md, copilot-instructions.md) for placeholder tokens like `{{PROJECT_NAME}}` and `{{WORKSPACE_NAME}}` and replace them with the actual project name and `TS-SAE-{name}` respectively. Create a helper function `replace_template_placeholders(project_dir, project_name)`.","Template files contain placeholders that are replaced with actual project values during creation.","v2.0.0","US-023","",""
"DOC-002","DOC","Update Default-Project README.md with Placeholders","Done","Developer Agent","Update `Default-Project/README.md` (the workspace root README) to use `{{PROJECT_NAME}}` and `{{WORKSPACE_NAME}}` placeholders instead of hardcoded ""Project"" references. Update the folder structure table to show `{{PROJECT_NAME}}/` instead of `Project/`. Make the same changes in `templates/coding/README.md`.","README.md template dynamically reflects the correct folder names after placeholder replacement.","v2.0.0","US-023","",""
"DOC-003","DOC","Update copilot-instructions.md Template with Placeholders","Done","Developer Agent","Update `Default-Project/.github/instructions/copilot-instructions.md` to use `{{PROJECT_NAME}}` placeholder wherever it references the ""Project"" folder. Ensure the copilot instructions tell agents to work in the correctly-named project folder. Make the same changes in `templates/coding/.github/instructions/copilot-instructions.md`.","copilot-instructions.md in created workspaces correctly references the project folder by its actual name.","Tester PASS: 17 tests (6 dev + 11 Tester edge-case). Placeholder count, literal folder immutability, section placement, varied name formats, BOM hygiene all verified. 3087/3087 pass; 2 pre-existing failures unrelated to DOC-003.","US-023","",""
"DOC-004","DOC","Update Project Folder README.md with Placeholders","Done","Developer Agent","Update `Default-Project/Project/README.md` (the project subfolder README) to use `{{PROJECT_NAME}}` placeholder for the folder name and any project-specific references. This README provides getting-started instructions for agents working in the project folder. Make the same changes in `templates/coding/Project/README.md`.","The project folder README dynamically shows the correct project name after placeholder replacement.","v2.0.0","US-023","",""
"FIX-028","Fix","Add ad-hoc code signing to macOS build script","Done","Developer Agent","Modify src/installer/macos/build_dmg.sh to add a codesign step after the .app bundle is assembled (after Step 3 write Info.plist, before Step 4 DMG creation). Sign all nested binaries including the embedded python3.11 framework using: codesign --deep --force --sign - dist/AgentEnvironmentLauncher.app. This addresses the Gatekeeper rejection on macOS 14+ Apple Silicon.","Running codesign -v AgentEnvironmentLauncher.app after build_dmg.sh completes reports the bundle is valid on disk (no 'code object is not signed' error). App launches without error on macOS 14+ M3.","BUG-061","US-025","",""
"FIX-029","Fix","Add code signing verification step to CI macOS build","Done","Developer Agent","Add a codesign --verify --deep --strict step to the macos-arm-build job in .github/workflows/release.yml immediately after the Build DMG step. Command: codesign --verify --deep --strict dist/AgentEnvironmentLauncher.app. This causes the CI job to fail before artifact upload if the .app bundle produced by build_dmg.sh is invalid or unsigned.","The macos-arm-build CI job fails immediately (before artifact upload) when the .app bundle is not properly signed. CI log shows explicit codesign verification pass message on success.","BUG-061","US-025","",""
"FIX-030","Fix","Bump Version to 2.0.1","Done","Developer Agent","Update the version string from 2.0.0 to 2.0.1 in all locations: (1) src/launcher/config.py VERSION constant, (2) pyproject.toml version field, (3) src/installer/windows/setup.iss MyAppVersion, (4) src/installer/macos/build_dmg.sh APP_VERSION, (5) src/installer/linux/build_appimage.sh APP_VERSION.","All version references consistently show 2.0.1. Pushing tag v2.0.1 triggers CI/CD release with correct version numbers.","macOS code signing hotfix release for BUG-061","US-025","",""
"FIX-021","Fix","Fix Search Tools Blocking for Project Folder","Done","Developer Agent","Fix search tool handling in security_gate.py so grep_search file_search and semantic_search are allowed when scoped to or targeting the project folder. Root cause: validate_grep_search() returns deny when no filePath field is present in payload even after includePattern validation passes â€” grep_search never provides filePath so the function always denies. file_search is in _EXEMPT_TOOLS but extract_path() returns None for its payload causing deny. validate_semantic_search() always returns deny with no exception for project-folder scope. Fix grep_search: return allow when includePattern passes and no explicit path is required. Fix file_search: allow searches without an explicit path field. Fix semantic_search: allow queries scoped to project folder.","All 3 search tools (grep_search file_search semantic_search) work for project-folder content. BUG-054 resolved.","BUG-054. Covers R1 R2 R3 from Security Verification Report. Tester PASS 2026-03-17: 33/33 FIX-021 tests pass (24 dev + 9 tester edge-case); 3208/3208 suite pass; 2 pre-existing fails unchanged.","US-024","",""
"FIX-022","Fix","Fix Python/pip/venv Terminal Commands","Done","Developer Agent","Fix terminal allowlist validation so python execution (python script.py python -m pytest) pip install (inside active venv) and venv activation work inside the project folder. Root cause: relative path arguments like src/app.py and tests/ are resolved against the workspace root instead of the project folder context making them appear outside the allowed zone. Venv activation scripts (activate activate.bat Activate.ps1) are not in the command allowlist so activation commands are unconditionally denied. Fix: added _try_project_fallback helper and _PROJECT_FALLBACK_VERBS set for verb-conditioned fallback. Added activation script handler in sanitize_terminal_command.","Python development workflow fully functional in project folder: python src/app.py python -m pytest tests/ pip install and venv activation all work. BUG-055 resolved.","BUG-055. Covers R4 R7 R8 from Security Verification Report.","US-024","",""
"FIX-023","Fix","Allow .venv Directory in Project Folder","Done","Developer Agent","Added project-folder fallback to venv target validation in _validate_args step 4. Also tracks venv target indices so step 5 skips re-checking them.","python -m venv .venv creates a virtual environment inside the project folder without being denied. BUG-056 resolved.","BUG-056. Covers R6 from Security Verification Report.","US-024","",""
"FIX-024","Fix","Fix File Tools with Absolute Project Paths","Done","Developer Agent","Investigation resolved: root cause is hash staleness (SAF-008) not a code bug. After modifying security_gate.py the integrity hash becomes stale causing subsequent tool calls to be denied. Running update_hashes.py after changes resolves the issue. Absolute Windows paths work correctly via zone_classifier Method 1 (pathlib relative_to). No code changes needed.","All file tools reliably return allow for any valid absolute path inside the project folder on every call. BUG-057 resolved.","BUG-057. Covers R9 R10 R11 R12 from Security Verification Report.","US-024","",""
"FIX-025","Fix","Add cat and type to Terminal Allowlist","Done","Developer Agent","Investigation confirmed: cat and type are already in the allowlist (Category G). The root cause was the same relative path resolution issue as FIX-022. Resolved by FIX-022 project-folder fallback â€” cat and type are in _PROJECT_FALLBACK_VERBS. No additional code changes needed.","cat src/app.py and type file.txt work for files inside the project folder. BUG-058 resolved.","BUG-058. Covers R5 R15 from Security Verification Report.","US-024","",""
"FIX-026","Fix","Fix get_errors for Project Folder Paths","Done","Developer Agent","Added project-folder fallback to validate_get_errors. When zone_classifier denies a relative path the fallback retries with project prefix.","get_errors with project folder file paths (both relative and absolute) returns allow. BUG-059 resolved.","BUG-059. Covers R13 from Security Verification Report.","US-024","",""
"FIX-027","Fix","Fix Terminal Absolute Path Handling","Done","Developer Agent","Investigation resolved: absolute Windows paths work correctly via zone_classifier Method 1 (pathlib relative_to). Method 1 runs first and correctly classifies absolute project paths as allow. The original report's issue was actually the relative-path resolution bug fixed by FIX-022. No additional code changes needed.","Terminal commands with absolute project folder paths (e.g. Get-ChildItem E:\\workspace\\TS-SAE-MyProject\\MyProject\\src) return allow. BUG-060 resolved.","BUG-060. Covers R14 from Security Verification Report.","US-024","",""
"FIX-031","Fix","Fix macOS bottom-up code signing","Done","Developer Agent","Replace codesign --deep with bottom-up signing in build_dmg.sh: find/sign all .dylib and .so files individually, sign Python.framework with --deep, sign .app bundle without --deep. Update FIX-028 tests to reflect new pattern.","build_dmg.sh arm64 completes; codesign --verify --deep --strict passes; no 'bundle format unrecognized' error.","BUG-061 CI regression.","US-026","",""
"SAF-026","SAF","Add python -c inline code scanning","Done","Developer Agent","Add _scan_python_inline_code() function to security_gate.py that scans the -c code string for dangerous patterns (deny-zone paths, obfuscation imports, network modules, filesystem escape, infrastructure tampering, dynamic execution). Called from _validate_args when verb is python/python3/py and -c is present. Also add obfuscation pre-scan pattern for python -c combined with deny-zone strings. Block update_hashes.py execution via terminal. Sync template copy.","python -c ""print(42)"" allowed; python -c ""open('NoAgentZone/README.md').read()"" denied; python -c ""import urllib.request"" denied; python -c ""import base64; b64decode"" denied.","Addresses findings 3-12 from Security Audit V2.0.0.","US-027","",""
"SAF-027","SAF","Tests for python -c inline code scanning","Done","Developer Agent","Write comprehensive tests for _scan_python_inline_code: safe code allowed, deny-zone paths denied, base64 obfuscation denied, network imports denied, filesystem escape denied, infrastructure ref denied, dynamic execution denied, parent traversal denied, project folder access allowed.","All test cases pass covering all 8 denial categories and safe-code allowance.","Depends on SAF-026.","US-027","",""
"SAF-028","SAF","Fix bare directory enumeration from workspace root","Done","Developer Agent","Fix security_gate.py so that bare dir/ls/Get-ChildItem with no path argument triggers SAF-006 _is_ancestor_of_deny_zone check using CWD as implicit target. Also fix Get-ChildItem -Recurse -Force with no explicit path. Write tests.","Get-ChildItem -Recurse from workspace root denied; dir Project/ allowed; ls from inside project allowed.","Addresses findings 1-2 from Security Audit V2.0.0. Iteration 2: BUG-066/067/068/069 fixed. 37/37 tests pass. Tester PASS 2026-03-18.","US-028","",""
"FIX-032","Fix","Allow shell redirection and PS write cmdlets in project","Done","Developer Agent","Fix security_gate.py: after redirect detection (> >>), extract target path and zone-check it ï¿½ allow if inside project folder. Fix PowerShell cmdlet (Set-Content, Add-Content, Out-File, Copy-Item, Move-Item) path resolution for project-folder relative paths. Write tests.","echo ""test"" > Project/file.txt allowed; Set-Content Project/file.txt -Value ""test"" allowed; echo ""test"" > .github/file.txt denied.","Addresses L4, L5, L6 from audit.","US-029","",""
"FIX-033","Fix","Allow dot-prefix names and env var assignment in project","Done","Developer Agent","Fix security_gate.py: resolve dot-prefix paths (.venv, .env, .gitignore) fully before zone-checking â€” allow when inside project. Special-case $env:VIRTUAL_ENV assignment when value points inside project folder. Write tests.","python -m venv .venv in project allowed; $env:VIRTUAL_ENV = 'project/.venv' allowed; .venv creation outside project denied.","Tester PASS: 63 tests (36 dev + 27 Tester edge-case). Path traversal + degenerate-path + chained segment + env var name independence all verified secure. 3579 full suite pass. Addresses L7 L10 L11 from audit.","US-029","",""
"FIX-034","Fix","Allow venv activation in project folder","Done","Tester Agent","Fix security_gate.py: whitelist venv activation patterns (activate, activate.bat, Activate.ps1) when the venv directory is inside the project folder. Handle both .\venv\Scripts\activate and & venv/Scripts/Activate.ps1 forms. Write tests.",".\Project\venv\Scripts\activate allowed; Activate.ps1 obfuscation pattern false-positive resolved; activation outside project denied.","Addresses L8, L9 from audit.","US-029","",""
"FIX-035","Fix","Allow deferred development tools","Done","Developer Agent","Add install_python_packages, configure_python_environment, fetch_webpage to _EXEMPT_TOOLS or conditional allow in security_gate.py. Write tests.","Deferred tools for development work correctly when targeting project folder.","Addresses L13 from audit. Tester PASS: 74/74 tests.","US-029","",""
"FIX-036","Fix","Bump version to 2.1.0","Done","Developer Agent","Update version from 2.0.1 to 2.1.0 in all 5 locations: config.py, pyproject.toml, setup.iss, build_dmg.sh, build_appimage.sh. Update docs/architecture.md with security model changes.","All version references show 2.1.0. Architecture doc reflects current state.","V2.1.0 release. Tester PASS: 7/7 tests.","US-030","",""
"FIX-037","Fix","Remove .dist-info dirs from macOS bundle before signing","Done","Developer Agent","Add a step to src/installer/macos/build_dmg.sh (between Step 2 Create .app bundle and Step 3.5 Code signing) that removes all .dist-info directories from the _internal/ folder. These are Python package metadata not needed at runtime for PyInstaller bundles and cause codesign to fail.","macOS CI build completes without codesign errors. No .dist-info directories remain in the .app bundle.","BUG-070","US-026","",""
"FIX-038","Fix","Remove .app bundle codesign ï¿½ use component-level signing only","Done","Developer Agent","Remove the .app bundle-level codesign and whole-bundle verification from build_dmg.sh. PyInstaller bundles put non-code files in Contents/MacOS/_internal/ which codesign cannot handle. Keep bottom-up signing of individual code objects (.dylib, .so, Python.framework, main executable). Replace whole-bundle verification with targeted verification of signed components. Also update release.yml CI verification step.","macOS CI build completes without codesign errors. All critical code objects are individually signed and verified.","BUG-071. Systemic fix ï¿½ component-level signing is sufficient for macOS Apple Silicon execution. Tester PASS: 26/26 tests.","US-026","",""
"FIX-039","Fix","Skip launcher re-sign inside .app ï¿½ verify pre-bundle binary","Done","Developer Agent","In build_dmg.sh: (1) Remove codesign --force --sign - on Contents/MacOS/launcher (triggers bundle validation because launcher is CFBundleExecutable). (2) Remove codesign --verify on Contents/MacOS/launcher. (3) Add codesign --verify on dist/launcher/launcher (pre-bundle binary with PyInstaller ad-hoc signature). In release.yml: Change verification to check dist/launcher/launcher instead of inside the .app. Keep signing of .dylib .so and Python.framework unchanged ï¿½ these work because they are standalone code objects not the bundle executable.","macOS CI build completes without codesign errors. Launcher retains its PyInstaller ad-hoc signature verified at dist/launcher/launcher.","BUG-072 ï¿½ Tester PASS 2026-03-18: 24/24 FIX-039 tests (13 dev + 11 Tester edge-case); 65 full-suite failures (63 pre-existing + 2 superseded FIX-038); 0 new failures. Tester Agent.","US-026","",""
"FIX-040","Fix","Fix Windows update restart and stale version label","Done","Developer Agent","Fix two related bugs in the Windows in-app update flow: (1) In src/launcher/core/applier.py _apply_windows(): replace sys.exit(0) with os._exit(0) to force-terminate from daemon thread — sys.exit() from a non-main thread does not terminate the main process. (2) In src/installer/windows/setup.iss [Run] section: remove the skipifsilent flag so the app relaunches after a /SILENT install. (3) In src/launcher/gui/app.py: update the UI before exit to show 'Installing update... App will restart.' so the user knows what is happening.","After clicking Download & Install Update the old launcher process terminates and the new version launches automatically. The version label in the new instance shows the correct new version.","BUG-073 BUG-074. Tested on Windows 11.","US-031","",""
"FIX-041","Fix","Fix stale version label from .dist-info in overlay installs","Done","Developer Agent","Fix get_display_version() in config.py to skip importlib.metadata when running inside a PyInstaller bundle (sys._MEIPASS). In bundled builds the VERSION constant is always correct; importlib.metadata is unreliable because overlay installs leave stale .dist-info directories from previous versions.","Version label always shows the correct VERSION constant in bundled builds. importlib.metadata is only used in development.","BUG-075. Windows 11 user-reported after FIX-040 restart fix.","US-031","",""
"FIX-042","Fix","Make NoAgentZone visible in VS Code file explorer","Done","Developer Agent","Remove NoAgentZone from files.exclude in Default-Project and templates/coding settings.json. Keep it in search.exclude. Update integrity hashes. Sync templates.","NoAgentZone visible in file explorer. search.exclude and security gate blocking unchanged.","BUG-076","US-021","",""
"SAF-029","SAF","Fix dot-prefix path matching for delete operations","Done","Developer Agent","Fix security_gate.py zone classifier so that dot-prefix paths like .venv, .git, .pytest_cache inside the project folder are not incorrectly matched against the .github and .vscode deny zones. The root cause is that .g* prefix matches both .git and .github, and .v* matches both .venv and .vscode. Change to exact directory name matching (.github, .vscode) instead of prefix matching. Only the first path component after the workspace root should be checked against the deny list. Write tests.","Remove-Item .venv and Remove-Item .pytest_cache work inside the project folder. Remove-Item .github is still denied.","Addresses L5/L6 from Security Audit V2.1.2.","US-019","",""
"SAF-030","SAF","Recognize bare tilde as path-like token","Done","Developer Agent","Extend _is_path_like() in security_gate.py to return True for bare tilde (~) and tilde-prefixed paths (~/path). Currently ~ has no slash, backslash, .., or leading dot so _is_path_like returns False and commands like rm ~ pass without zone check. The shell expands ~ to HOME before execution. After _is_path_like returns True for ~, _validate_args will zone-check it -- since ~ resolves outside the project folder it will be denied. Write tests.","sanitize_terminal_command('rm ~', ws_root) returns deny. sanitize_terminal_command('rm ~/Documents', ws_root) returns deny. Tilde inside project folder paths still allowed.","Addresses BUG-048 from prior testing.","US-019","",""
"SAF-031","SAF","Fix VIRTUAL_ENV bypass via python -m pip and startswith collision","Done","Developer Agent","Fix two related VIRTUAL_ENV validation issues in security_gate.py _validate_args: (1) BUG-049: When pip is invoked as python -m pip install, the verb is python so the VIRTUAL_ENV guard (which is gated on verb in (""pip"", ""pip3"")) never fires. Fix: in the -m module handler, add a VIRTUAL_ENV check when module is pip or pip3 and the subcommand is install. (2) BUG-050: The VIRTUAL_ENV check uses norm_venv.startswith(ws_root) which is a raw string prefix test. c:/workspace2/.venv matches c:/workspace. Fix: use norm_venv.startswith(ws_root.rstrip(""/"") + ""/"") or norm_venv == ws_root.rstrip(""/""). Write tests for both.","python -m pip install requests without VIRTUAL_ENV returns deny. pip install with VIRTUAL_ENV=c:/workspace2/.venv and ws_root=c:/workspace returns deny. Both work correctly when VIRTUAL_ENV is inside the project folder.","Addresses BUG-049 (Critical) and BUG-050 (High) from prior testing.","US-019","",""
"FIX-043","Fix","Fix INS-005 test expected value for uninstall delete type","Done","Developer Agent","Fix tests/INS-005/test_ins005_edge_cases.py line ~198 -- the test expects regex Type:\s*filesandirs but the correct Inno Setup syntax is filesandordirs. Update the expected value in the test assertion.","test_uninstall_delete_type_is_filesandirs passes. Full test suite has no new failures.","Addresses BUG-045 (Low). Pre-existing test bug.","Enabler","",""
"FIX-044","Fix","Fix PermissionError on read-only template .md with placeholders","Done","Developer Agent","In src/launcher/core/project_creator.py replace_template_placeholders(), wrap the write_text() call in try/except OSError to match the existing read-guard behavior. When a .md file is read-only and contains placeholder tokens, the function should silently skip the write (consistent with the binary-safety guard on read). Write tests.","replace_template_placeholders does not raise PermissionError on read-only .md files containing placeholders. read-only files are silently skipped.","Addresses BUG-052 (Minor). Asymmetry between read-guard and write-guard.","US-023","",""
"DOC-005","DOC","Add known SAE limitations to project copilot-instructions","Done","Developer Agent","Update Default-Project/.github/instructions/copilot-instructions.md to add a short section documenting the 7 accepted SAE limitations and their workarounds. Keep it as compact as possible -- agents need to know WHAT is blocked and WHAT to use instead, nothing more. The 7 limitations: (1) Out-File blocked -> use Set-Content or > redirect, (2) Bare dir/ls/Get-ChildItem without path -> use list_dir tool, (3) Venv activation scripts -> use venv/Scripts/python.exe directly, (4) pip install via terminal -> use install_python_packages tool, (5) Direct venv python.exe execution -> use system Python, (6) Get-ChildItem -Recurse from project CWD -> use list_dir or file_search tool, (7) Memory tool -> blocked by design. Also sync templates/coding/.github/instructions/copilot-instructions.md to match. After changes run Default-Project/.github/hooks/scripts/update_hashes.py to re-embed hashes. Write tests.","Both copilot-instructions.md files contain the limitations section and are in sync. Hashes updated.","Documents accepted limitations L1-L4, L7-L9 from Security Audit V2.1.2.","US-023","",""
"FIX-045","Fix","Bump version to 2.1.3","Done","Developer Agent","Update version from 2.1.0 to 2.1.3 in all 5 locations: (1) src/launcher/config.py VERSION constant, (2) pyproject.toml version field, (3) src/installer/windows/setup.iss MyAppVersion, (4) src/installer/macos/build_dmg.sh APP_VERSION, (5) src/installer/linux/build_appimage.sh APP_VERSION.","All version references consistently show 2.1.3.","V2.1.3 release -- security audit fixes and documentation update.","Enabler","",""
"SAF-032","SAF","Block file tools in .git/ directories","Done","Developer Agent","Add .git/ as a restricted path in zone_classifier.py and security_gate.py. When the resolved path contains /.git/ or \.git\ or ends with /.git, deny create_file, replace_string_in_file, and multi_replace_string_in_file operations. read_file and list_dir for .git/ should also be denied to harmonize access (R2+R4 from V3.0.0 security audit). Terminal already blocks .git/ via dot-prefix pattern so no terminal changes needed. Apply changes in BOTH Default-Project/ and templates/coding/ copies. Run update_hashes.py after changes.","create_file inside ProjectFolder/.git/hooks/ returns deny. read_file inside .git/ returns deny. Terminal .git/ access remains blocked. Normal project folder operations unaffected.","V3.0.0 security hardening. Addresses R2 and R4 from SECURITY_ADVANCED_ATTACK_ANALYSIS-V3.0.0. Tester PASS: 57/57 tests (20 dev + 37 tester edge-case).","US-018","",""
